Word,Frequency
wine,110594
flavor,86442
fruit,75457
palate,60682
aroma,59926
finish,48887
tannin,48181
acidity,47866
drink,45179
cherry,39162
ripe,37370
black,33737
note,32465
nose,28536
spice,27977
red,25348
berry,23295
rich,22120
oak,21975
fresh,21775
plum,20772
apple,19594
show,19211
offer,18938
texture,17835
dry,17716
blackberry,17672
white,17633
blend,17562
hint,16063
light,15910
crisp,15574
soft,15446
bright,15280
herb,14911
juicy,14805
well,14772
citrus,14537
dark,14269
full,14224
lemon,14158
touch,13518
raspberry,13190
vanilla,12912
pepper,12909
firm,12381
cabernet,12287
fruity,12204
dried,12123
sweet,11861
give,11805
pear,11725
peach,11513
green,11270
balanced,11094
good,10444
character,10218
structure,10164
come,9611
feel,9589
concentrated,9497
vineyard,9370
open,9354
year,9323
lead,9165
spicy,9077
chocolate,8942
sauvignon,8865
currant,8837
alongside,8801
smooth,8705
made,8526
balance,8352
savory,8334
wood,8054
fullbodied,7921
mineral,7896
also,7808
orange,7786
tart,7661
still,7626
herbal,7594
structured,7577
along,7549
bottling,7526
freshness,7517
ready,7510
licorice,7489
pinot,7387
earthy,7365
make,7268
strawberry,7268
age,7247
dense,7232
flower,7120
fine,7028
grape,7023
tannic,7022
bit,6957
merlot,6870
creamy,6813
aging,6811
tobacco,6775
leather,6771
clove,6589
long,6564
lime,6520
taste,6465
like,6426
elegant,6387
yellow,6376
syrah,6351
richness,6293
slightly,6293
style,6232
great,6208
yet,6149
tangy,6060
clean,6058
time,5932
toast,5887
new,5859
delicious,5836
tight,5775
vintage,5769
one,5675
barrel,5665
glass,5637
earth,5548
grapefruit,5527
stone,5509
wild,5488
lively,5481
melon,5440
edge,5385
color,5368
young,5355
crushed,5344
complex,5307
mouth,5244
generous,5204
whiff,5138
smoky,5128
tone,5088
delivers,5085
lightly,5081
cassis,5058
core,5036
mouthfeel,5023
plenty,4978
chardonnay,4950
coffee,4925
scent,4875
cranberry,4868
apricot,4827
refreshing,4824
attractive,4818
floral,4749
anise,4738
pineapple,4734
intense,4684
almost,4584
concentration,4580
body,4553
add,4525
zest,4479
best,4457
little,4414
need,4357
rounded,4349
blueberry,4347
baked,4347
cinnamon,4323
complexity,4301
big,4298
cola,4291
simple,4278
easy,4267
bodied,4262
nt,4261
showing,4251
mediumbodied,4249
layer,4243
minerality,4226
solid,4213
round,4200
cedar,4195
baking,4164
weight,4162
textured,4155
quite,4151
violet,4141
bitter,4139
perfumed,4133
honey,4123
toasted,4087
rose,4086
smoke,4059
offering,4019
tropical,3985
strong,3981
carry,3971
peel,3930
almond,3930
fruitiness,3869
zesty,3803
delicate,3793
medium,3781
vibrant,3767
bold,3725
toasty,3721
estate,3716
mix,3690
powerful,3683
mature,3656
franc,3654
subtle,3648
roasted,3612
lovely,3604
together,3572
accent,3553
oaky,3527
enjoy,3522
close,3503
noir,3433
way,3430
candied,3420
blanc,3419
aftertaste,3418
followed,3404
aromatic,3393
mocha,3389
rather,3381
warm,3357
meat,3323
variety,3313
aged,3284
grenache,3273
lot,3272
leaf,3264
much,3259
bottle,3249
tangerine,3230
sip,3212
jam,3205
mint,3203
end,3202
thick,3198
silky,3194
dusty,3183
polished,3162
lean,3156
malbec,3146
deep,3140
alcohol,3120
brings,3114
depth,3110
take,3093
vine,3092
enough,3090
jammy,3084
french,3070
lingering,3065
pretty,3055
power,3003
blossom,3002
lush,2993
sour,2953
already,2894
element,2889
caramel,2887
peppery,2881
first,2875
sweetness,2862
exotic,2859
star,2852
packed,2806
cut,2803
although,2798
pure,2796
riesling,2775
skin,2768
high,2725
espresso,2717
ripeness,2717
sage,2714
layered,2700
wet,2698
keep,2685
velvety,2680
rosé,2674
acid,2668
month,2664
even,2634
petit,2630
winery,2622
integrated,2613
right,2590
seems,2581
prune,2580
side,2580
giving,2562
hard,2554
sense,2553
varietal,2549
